EMPRESA;id;PUBLICACION;MES;DIA;ANIO;hora;numreactions;numcomments;numshares;numlikes;numloves;numwows;numhahas;numsads;numangrys
EMPRESAD;1,59656E+15;video;3;2;2018;9.55;128;137;26;110;16;2;0;0;0
EMPRESAD;1,59443E+15;photo;2;28;2018;8.19;84;15;13;78;5;1;0;0;0
EMPRESAD;1,59414E+15;photo;2;28;2018;1.43;66;11;6;61;4;1;0;0;0
EMPRESAD;1,59246E+15;video;2;26;2018;8.50;171;292;28;150;19;1;1;0;0
EMPRESAD;1,59155E+15;video;2;25;2018;10.13;90;72;23;79;10;1;0;0;0
EMPRESAD;1,58702E+15;video;2;21;2018;0.19;139;39;9;121;16;1;1;0;0
EMPRESAD;1,585E+15;video;2;19;2018;0.11;236;181;21;201;33;0;1;0;1
EMPRESAD;1,58425E+15;video;2;18;2018;7.15;225;210;34;193;30;0;2;0;0
EMPRESAD;1,5839E+15;photo;2;17;2018;22.30;275;12;0;260;11;4;0;0;0
EMPRESAD;1,58308E+15;video;2;17;2018;4.15;372;456;37;334;31;1;1;1;4
EMPRESAD;1,58096E+15;photo;2;15;2018;3.47;445;9;0;419;23;3;0;0;0
EMPRESAD;1,58016E+15;video;2;14;2018;8.23;128;60;11;114;13;0;0;0;1
EMPRESAD;1,57887E+15;video;2;13;2018;1.16;186;235;46;163;19;0;3;0;1
EMPRESAD;1,57794E+15;video;2;12;2018;3.28;309;444;36;254;42;2;8;3;0
EMPRESAD;1,57708E+15;photo;2;11;2018;5.55;77;11;3;75;2;0;0;0;0
EMPRESAD;1,57621E+15;video;2;10;2018;7.54;119;72;28;103;16;0;0;0;0
EMPRESAD;1,57497E+15;photo;2;9;2018;1.48;100;21;13;95;5;0;0;0;0
EMPRESAD;1,57425E+15;video;2;8;2018;9.14;240;255;111;193;44;1;1;0;1
EMPRESAD;1,57323E+15;video;2;7;2018;8.35;164;136;48;146;15;2;0;1;0
EMPRESAD;1,57231E+15;video;2;6;2018;8.46;202;327;42;171;30;1;0;0;0
EMPRESAD;1,57131E+15;video;2;5;2018;9.20;211;284;46;186;25;0;0;0;0
EMPRESAD;1,57006E+15;video;2;4;2018;3.25;148;114;16;136;10;0;2;0;0
EMPRESAD;1,56928E+15;video;2;3;2018;8.34;97;81;16;84;13;0;0;0;0
EMPRESAD;1,56829E+15;video;2;2;2018;9.24;279;292;34;254;20;3;1;1;0
EMPRESAD;1,56818E+15;photo;2;2;2018;7.08;263;8;0;245;14;4;0;0;0
EMPRESAD;1,56813E+15;video;2;2;2018;6.01;177;193;34;151;25;1;0;0;0
EMPRESAD;1,56316E+15;photo;1;28;2018;7.50;517;32;1;484;26;7;0;0;0
EMPRESAD;1,56304E+15;video;1;28;2018;5.25;289;258;33;256;33;0;0;0;0
EMPRESAD;1,56143E+15;photo;1;26;2018;13.03;66;13;0;65;1;0;0;0;0
EMPRESAD;1,56143E+15;photo;1;26;2018;13.02;112;6;0;104;8;0;0;0;0
EMPRESAD;1,56118E+15;video;1;26;2018;8.47;206;259;48;181;22;1;2;0;0
EMPRESAD;1,56015E+15;video;1;25;2018;8.40;362;468;86;305;56;0;0;1;0
EMPRESAD;1,55813E+15;video;1;23;2018;9.04;184;130;51;161;23;0;0;0;0
EMPRESAD;1,55709E+15;video;1;22;2018;9.37;216;251;34;199;16;0;0;0;1
EMPRESAD;1,55707E+15;video;1;22;2018;9.15;57;0;0;56;1;0;0;0;0
EMPRESAD;1,55603E+15;video;1;21;2018;9.10;272;258;43;226;44;1;1;0;0
EMPRESAD;1,55561E+15;video;1;20;2018;23.10;248;247;34;208;33;3;2;0;2
EMPRESAD;1,55501E+15;video;1;20;2018;9.08;132;89;40;110;20;1;0;0;1
EMPRESAD;1,554E+15;video;1;19;2018;9.16;226;341;41;196;30;0;0;0;0
EMPRESAD;1,55399E+15;video;1;19;2018;9.06;35;1;0;35;0;0;0;0;0
EMPRESAD;1,55296E+15;video;1;18;2018;8.54;219;316;36;170;46;3;0;0;0
EMPRESAD;1,55278E+15;video;1;18;2018;5.08;94;1;1;94;0;0;0;0;0
EMPRESAD;1,55198E+15;video;1;17;2018;9.29;259;368;50;234;25;0;0;0;0
EMPRESAD;1,55153E+15;video;1;16;2018;22.36;62;1;0;62;0;0;0;0;0
EMPRESAD;1,55151E+15;video;1;16;2018;22.13;127;76;21;114;13;0;0;0;0
EMPRESAD;1,55068E+15;video;1;16;2018;0.53;149;63;15;134;15;0;0;0;0
EMPRESAD;1,54824E+15;video;1;13;2018;9.18;134;171;41;116;18;0;0;0;0
EMPRESAD;1,54636E+15;video;1;11;2018;9.05;392;461;47;360;32;0;0;0;0
EMPRESAD;1,54543E+15;video;1;10;2018;8.57;310;540;41;284;26;0;0;0;0
EMPRESAD;1,53752E+15;photo;1;2;2018;23.05;14;3;0;12;2;0;0;0;0
EMPRESAD;1,53024E+15;photo;12;26;2017;6.23;293;6;1;275;15;3;0;0;0
EMPRESAD;1,52732E+15;photo;12;24;2017;10.28;236;12;0;226;8;1;1;0;0
EMPRESAD;1,52191E+15;photo;12;21;2017;8.14;312;10;0;291;18;3;0;0;0
EMPRESAD;1,50268E+15;photo;12;10;2017;23.28;24;12;0;24;0;0;0;0;0
EMPRESAD;1,49727E+15;link;12;8;2017;2.37;16;9;0;15;1;0;0;0;0
EMPRESAD;1,49572E+15;photo;12;7;2017;6.41;33;12;0;32;1;0;0;0;0
EMPRESAD;1,49229E+15;photo;12;5;2017;1.25;675;10;0;645;29;1;0;0;0
EMPRESAD;1,49158E+15;photo;12;4;2017;8.28;737;18;0;697;31;9;0;0;0
EMPRESAD;1,49026E+15;photo;12;3;2017;1.40;572;16;0;554;16;2;0;0;0
EMPRESAD;1,47959E+15;photo;11;22;2017;22.14;23;7;0;20;3;0;0;0;0
EMPRESAD;1,47784E+15;photo;11;21;2017;1.37;266;25;0;250;11;5;0;0;0
EMPRESAD;1,47779E+15;video;11;21;2017;0.22;378;512;30;348;27;2;0;0;1
EMPRESAD;1,47585E+15;video;11;18;2017;22.32;421;709;30;373;45;2;0;1;0
EMPRESAD;1,47496E+15;video;11;18;2017;1.23;1493;1979;753;1333;139;9;3;8;1
EMPRESAD;1,47299E+15;photo;11;16;2017;0.01;76;17;0;76;0;0;0;0;0
EMPRESAD;1,46648E+15;photo;11;9;2017;0.32;36;11;0;34;2;0;0;0;0
EMPRESAD;1,46099E+15;photo;11;2;2017;21.22;19;8;0;18;0;0;1;0;0
EMPRESAD;1,45841E+15;photo;10;30;2017;23.46;27;10;0;27;0;0;0;0;0
EMPRESAD;1,45428E+15;photo;10;26;2017;12.02;117;2;53;108;9;0;0;0;0
EMPRESAD;1,45428E+15;photo;10;26;2017;11.53;146;1;0;145;1;0;0;0;0
EMPRESAD;1,45372E+15;photo;10;25;2017;22.45;166;0;13;151;7;0;0;8;0
EMPRESAD;1,45371E+15;photo;10;25;2017;22.29;190;0;31;171;0;0;0;19;0
EMPRESAD;1,45202E+15;photo;10;24;2017;3.55;217;16;0;213;4;0;0;0;0
EMPRESAD;1,45194E+15;photo;10;24;2017;1.20;458;14;0;451;3;4;0;0;0
EMPRESAD;1,45109E+15;photo;10;23;2017;3.52;553;15;0;538;12;3;0;0;0
EMPRESAD;1,45108E+15;photo;10;23;2017;3.23;203;18;11;190;7;6;0;0;0
EMPRESAD;1,45014E+15;photo;10;22;2017;0.38;1005;25;1;979;16;9;1;0;0
EMPRESAD;1,45011E+15;video;10;21;2017;23.43;202;145;23;182;19;0;0;0;1
EMPRESAD;1,44938E+15;photo;10;21;2017;3.19;428;14;0;419;4;5;0;0;0
EMPRESAD;1,44868E+15;photo;10;20;2017;6.37;479;17;0;462;10;7;0;0;0
EMPRESAD;1,44856E+15;video;10;20;2017;3.19;212;116;11;201;10;1;0;0;0
EMPRESAD;1,44752E+15;video;10;19;2017;2.44;225;157;17;211;14;0;0;0;0
EMPRESAD;1,44683E+15;video;10;18;2017;9.13;171;46;5;156;12;2;1;0;0
EMPRESAD;1,44653E+15;video;10;18;2017;2.33;247;120;16;232;14;1;0;0;0
EMPRESAD;1,44555E+15;video;10;17;2017;5.37;269;453;39;242;26;1;0;0;0
EMPRESAD;1,4454E+15;video;10;17;2017;2.36;258;486;32;235;23;0;0;0;0
EMPRESAD;1,44535E+15;photo;10;17;2017;1.47;109;2;1;104;5;0;0;0;0
EMPRESAD;1,44526E+15;photo;10;16;2017;22.47;97;5;0;96;0;1;0;0;0
EMPRESAD;1,44458E+15;video;10;16;2017;6.37;280;199;25;254;24;2;0;0;0
EMPRESAD;1,44453E+15;video;10;16;2017;5.25;325;77;21;293;30;1;1;0;0
EMPRESAD;1,44431E+15;photo;10;15;2017;22.58;51;11;0;51;0;0;0;0;0
EMPRESAD;1,44355E+15;video;10;15;2017;2.27;280;825;47;243;35;1;1;0;0
EMPRESAD;1,44294E+15;video;10;14;2017;10.37;688;0;0;632;34;0;0;22;0
EMPRESAD;1,44258E+15;video;10;14;2017;3.35;365;805;46;320;39;1;3;0;2
EMPRESAD;1,44141E+15;photo;10;12;2017;21.43;295;5;0;295;0;0;0;0;0
EMPRESAD;1,44044E+15;photo;10;11;2017;22.21;27;14;0;26;1;0;0;0;0
EMPRESAD;1,43487E+15;photo;10;6;2017;8.04;15;11;0;15;0;0;0;0;0
EMPRESAD;1,43362E+15;photo;10;4;2017;23.19;16;12;0;16;0;0;0;0;0
EMPRESAD;1,43002E+15;photo;10;1;2017;3.31;29;12;0;29;0;0;0;0;0
EMPRESAD;1,42993E+15;video;10;1;2017;1.05;28;6;0;28;0;0;0;0;0
EMPRESAD;1,4281E+15;photo;9;28;2017;23.21;8;8;0;8;0;0;0;0;0
EMPRESAD;1,4272E+15;photo;9;28;2017;0.12;10;9;0;10;0;0;0;0;0
EMPRESAD;1,42631E+15;photo;9;26;2017;22.39;39;8;0;39;0;0;0;0;0
EMPRESAD;1,42541E+15;photo;9;25;2017;22.52;49;11;0;47;2;0;0;0;0
EMPRESAD;1,42368E+15;video;9;24;2017;1.58;226;449;37;189;25;1;1;10;0
EMPRESAD;1,42367E+15;video;9;24;2017;1.52;104;49;13;91;12;0;0;1;0
EMPRESAD;1,4229E+15;photo;9;23;2017;3.56;251;17;0;244;7;0;0;0;0
EMPRESAD;1,42275E+15;video;9;23;2017;0.09;244;589;48;213;29;1;1;0;0
EMPRESAD;1,42216E+15;video;9;22;2017;8.48;252;558;41;204;45;1;1;0;1
EMPRESAD;1,42124E+15;video;9;21;2017;8.22;121;15;4;114;4;2;1;0;0
EMPRESAD;1,42097E+15;photo;9;21;2017;1.50;321;5;0;307;11;2;1;0;0
EMPRESAD;1,42089E+15;photo;9;21;2017;0.26;103;8;3;99;4;0;0;0;0
EMPRESAD;1,42083E+15;video;9;20;2017;23.43;136;31;16;122;14;0;0;0;0
EMPRESAD;1,42071E+15;video;9;20;2017;21.25;337;247;27;300;35;1;1;0;0
EMPRESAD;1,42024E+15;photo;9;20;2017;9.47;648;13;0;627;18;3;0;0;0
EMPRESAD;1,41983E+15;video;9;20;2017;0.19;175;157;14;157;18;0;0;0;0
EMPRESAD;1,41917E+15;video;9;19;2017;7.39;339;424;36;296;38;1;4;0;0
EMPRESAD;1,41913E+15;photo;9;19;2017;6.44;341;3;0;331;8;2;0;0;0
EMPRESAD;1,4189E+15;video;9;19;2017;0.40;177;131;27;150;27;0;0;0;0
EMPRESAD;1,4133E+15;photo;9;13;2017;3.48;201;0;0;195;4;2;0;0;0
EMPRESAD;1,41309E+15;photo;9;12;2017;22.34;43;7;0;41;2;0;0;0;0
EMPRESAD;1,41132E+15;photo;9;11;2017;6.14;40;7;0;39;1;0;0;0;0
EMPRESAD;1,40839E+15;photo;9;7;2017;22.52;58;14;0;57;1;0;0;0;0
EMPRESAD;1,40767E+15;video;9;7;2017;4.21;403;525;42;363;36;1;3;0;0
EMPRESAD;1,40759E+15;photo;9;7;2017;2.02;148;4;3;144;4;0;0;0;0
EMPRESAD;1,4075E+15;photo;9;6;2017;23.14;150;24;2;144;6;0;0;0;0
EMPRESAD;1,40698E+15;photo;9;6;2017;7.33;53;12;0;53;0;0;0;0;0
EMPRESAD;1,40694E+15;status;9;6;2017;6.22;144;15;8;140;4;0;0;0;0
EMPRESAD;1,40684E+15;video;9;6;2017;3.48;298;491;46;262;34;2;0;0;0
EMPRESAD;1,40679E+15;photo;9;6;2017;2.02;171;4;1;166;5;0;0;0;0
EMPRESAD;1,40439E+15;photo;9;3;2017;5.39;4410;633;257;4315;73;17;5;0;0
EMPRESAD;1,40161E+15;video;8;31;2017;8.50;374;588;46;327;47;0;0;0;0
EMPRESAD;1,40064E+15;photo;8;30;2017;8.38;181;20;0;180;1;0;0;0;0
EMPRESAD;1,39754E+15;photo;8;27;2017;9.46;267;20;1;249;8;10;0;0;0
EMPRESAD;1,39728E+15;photo;8;27;2017;4.54;60;7;0;59;1;0;0;0;0
EMPRESAD;1,39511E+15;photo;8;25;2017;7.36;98;23;5;95;2;1;0;0;0
EMPRESAD;1,39489E+15;video;8;25;2017;2.29;26;7;0;26;0;0;0;0;0
EMPRESAD;1,39379E+15;photo;8;24;2017;2.18;255;18;0;244;11;0;0;0;0
EMPRESAD;1,3929E+15;photo;8;23;2017;6.15;174;6;1;167;5;2;0;0;0
EMPRESAD;1,39213E+15;photo;8;22;2017;10.59;64;5;1;59;5;0;0;0;0
EMPRESAD;1,39211E+15;photo;8;22;2017;10.32;62;3;0;58;4;0;0;0;0
EMPRESAD;1,3917E+15;video;8;22;2017;1.40;192;417;40;168;22;1;1;0;0
EMPRESAD;1,39165E+15;photo;8;22;2017;0.09;110;18;6;110;0;0;0;0;0
EMPRESAD;1,39165E+15;photo;8;22;2017;0.08;119;12;7;117;2;0;0;0;0
EMPRESAD;1,38988E+15;photo;8;20;2017;4.41;42;11;0;41;0;1;0;0;0
EMPRESAD;1,38964E+15;video;8;19;2017;23.14;234;355;34;178;52;2;0;1;1
EMPRESAD;1,38823E+15;photo;8;18;2017;11.35;54;10;0;53;1;0;0;0;0
EMPRESAD;1,38823E+15;photo;8;18;2017;11.33;82;8;0;80;1;0;0;1;0
EMPRESAD;1,38808E+15;photo;8;18;2017;8.36;18;8;0;18;0;0;0;0;0
EMPRESAD;1,38524E+15;photo;8;15;2017;9.58;147;17;7;141;5;1;0;0;0
EMPRESAD;1,38522E+15;photo;8;15;2017;9.31;80;8;0;79;1;0;0;0;0
EMPRESAD;1,3841E+15;video;8;14;2017;7.41;299;564;42;262;34;1;1;0;1
EMPRESAD;1,38202E+15;photo;8;12;2017;2.40;629;11;1;607;18;4;0;0;0
EMPRESAD;1,38179E+15;photo;8;11;2017;20.41;69;2;0;67;2;0;0;0;0
EMPRESAD;1,381E+15;video;8;11;2017;0.27;219;110;17;190;26;1;2;0;0
EMPRESAD;1,38098E+15;photo;8;10;2017;23.39;30;2;0;27;3;0;0;0;0
EMPRESAD;1,38046E+15;photo;8;10;2017;9.17;65;1;0;62;2;1;0;0;0
EMPRESAD;1,38021E+15;photo;8;10;2017;3.03;161;7;0;153;8;0;0;0;0
EMPRESAD;1,38014E+15;video;8;10;2017;1.24;398;605;30;348;44;3;3;0;0
EMPRESAD;1,37942E+15;photo;8;9;2017;5.14;47;7;0;47;0;0;0;0;0
EMPRESAD;1,37928E+15;photo;8;9;2017;1.45;182;3;4;177;5;0;0;0;0
EMPRESAD;1,37917E+15;video;8;8;2017;22.24;317;158;32;269;47;1;0;0;0
EMPRESAD;1,37845E+15;video;8;8;2017;5.13;571;888;107;459;107;1;1;1;2
EMPRESAD;1,37747E+15;photo;8;7;2017;9.18;16;10;0;15;1;0;0;0;0
EMPRESAD;1,37584E+15;photo;8;6;2017;1.08;30;9;0;30;0;0;0;0;0
EMPRESAD;1,37583E+15;photo;8;6;2017;0.36;57;7;0;57;0;0;0;0;0
EMPRESAD;1,37492E+15;photo;8;5;2017;1.44;74;6;3;74;0;0;0;0;0
EMPRESAD;1,37305E+15;video;8;3;2017;4.50;368;911;50;317;50;1;0;0;0
EMPRESAD;1,37304E+15;photo;8;3;2017;4.31;19;3;0;19;0;0;0;0;0
EMPRESAD;1,37272E+15;photo;8;2;2017;22.18;176;3;0;175;0;1;0;0;0
EMPRESAD;1,37203E+15;photo;8;2;2017;6.02;133;7;0;133;0;0;0;0;0
EMPRESAD;1,37192E+15;photo;8;2;2017;2.54;162;6;2;158;3;1;0;0;0
EMPRESAD;1,37179E+15;video;8;1;2017;23.33;734;996;73;601;116;11;6;0;0
EMPRESAD;1,37096E+15;status;8;1;2017;0.57;42;16;9;41;1;0;0;0;0
EMPRESAD;1,37035E+15;status;7;31;2017;9.50;33;6;3;31;2;0;0;0;0
EMPRESAD;1,36726E+15;video;7;28;2017;1.10;29;6;1;29;0;0;0;0;0
EMPRESAD;1,36718E+15;photo;7;27;2017;22.48;43;6;0;42;1;0;0;0;0
EMPRESAD;1,36656E+15;photo;7;27;2017;8.08;14;6;0;13;1;0;0;0;0
EMPRESAD;1,36561E+15;video;7;26;2017;9.01;475;574;48;406;63;4;2;0;0
EMPRESAD;1,36521E+15;photo;7;25;2017;23.18;50;8;2;49;1;0;0;0;0
EMPRESAD;1,36519E+15;photo;7;25;2017;22.46;94;23;6;94;0;0;0;0;0
EMPRESAD;1,36131E+15;video;7;22;2017;8.50;303;34;3;291;11;1;0;0;0
EMPRESAD;1,3612E+15;photo;7;22;2017;7.08;168;7;1;167;1;0;0;0;0
EMPRESAD;1,36092E+15;photo;7;21;2017;23.32;248;14;0;241;7;0;0;0;0
EMPRESAD;1,36031E+15;photo;7;21;2017;8.52;422;6;0;410;8;3;1;0;0
EMPRESAD;1,36011E+15;photo;7;21;2017;4.20;189;3;0;184;2;0;3;0;0
EMPRESAD;1,36006E+15;photo;7;21;2017;2.59;390;17;2;382;5;3;0;0;0
EMPRESAD;1,35983E+15;photo;7;20;2017;23.30;618;28;0;597;14;7;0;0;0
EMPRESAD;1,35918E+15;photo;7;20;2017;8.59;191;2;2;188;2;1;0;0;0
EMPRESAD;1,35696E+15;video;7;18;2017;7.53;321;1381;67;275;44;1;1;0;0
EMPRESAD;1,35435E+15;photo;7;16;2017;2.18;364;7;2;347;15;2;0;0;0
EMPRESAD;1,35115E+15;photo;7;13;2017;0.11;51;10;0;51;0;0;0;0;0
EMPRESAD;1,35046E+15;video;7;12;2017;7.59;282;524;38;247;34;0;1;0;0
EMPRESAD;1,34743E+15;photo;7;9;2017;7.26;369;14;1;362;7;0;0;0;0
EMPRESAD;1,34658E+15;photo;7;8;2017;8.41;138;16;6;133;4;1;0;0;0
EMPRESAD;1,34356E+15;photo;7;5;2017;9.15;96;9;1;93;1;2;0;0;0
EMPRESAD;1,3424E+15;photo;7;4;2017;5.55;186;11;0;184;1;1;0;0;0
EMPRESAD;1,34224E+15;photo;7;4;2017;1.30;487;15;0;461;14;12;0;0;0
EMPRESAD;1,34215E+15;video;7;3;2017;23.23;282;19;4;257;20;3;2;0;0
EMPRESAD;1,33271E+15;photo;6;26;2017;4.06;383;8;1;367;13;3;0;0;0
EMPRESAD;1,33216E+15;photo;6;25;2017;11.49;216;0;1;211;5;0;0;0;0
EMPRESAD;1,33207E+15;photo;6;25;2017;9.47;48;0;0;45;2;1;0;0;0
EMPRESAD;1,33196E+15;video;6;25;2017;7.42;885;462;26;659;220;0;2;0;0
EMPRESAD;1,33193E+15;photo;6;25;2017;7.02;185;11;1;175;10;0;0;0;0
EMPRESAD;1,33185E+15;photo;6;25;2017;4.58;259;1;1;251;7;0;1;0;0
EMPRESAD;1,33176E+15;photo;6;25;2017;2.48;299;9;0;291;8;0;0;0;0
EMPRESAD;1,33166E+15;photo;6;24;2017;23.41;199;9;1;186;13;0;0;0;0
EMPRESAD;1,33091E+15;photo;6;24;2017;4.34;717;40;1;680;30;7;0;0;0
EMPRESAD;1,32916E+15;photo;6;22;2017;6.34;155;2;0;150;5;0;0;0;0
EMPRESAD;1,32815E+15;photo;6;21;2017;4.15;293;8;0;282;11;0;0;0;0
EMPRESAD;1,32552E+15;photo;6;18;2017;11.48;243;6;0;237;5;1;0;0;0
EMPRESAD;1,32085E+15;photo;6;13;2017;23.17;264;2;0;256;2;5;0;0;0
EMPRESAD;1,31991E+15;photo;6;13;2017;1.31;313;3;0;297;7;6;0;0;0
EMPRESAD;1,31928E+15;photo;6;12;2017;9.38;208;1;0;201;7;0;0;0;0
EMPRESAD;1,31928E+15;photo;6;12;2017;9.33;216;0;0;209;6;1;0;0;0
EMPRESAD;1,31905E+15;photo;6;12;2017;5.08;247;6;0;234;9;1;0;0;0
EMPRESAD;1,3189E+15;photo;6;12;2017;1.38;152;1;0;146;5;1;0;0;0
EMPRESAD;1,31816E+15;photo;6;11;2017;7.04;387;3;0;368;16;1;0;0;0
EMPRESAD;1,31716E+15;photo;6;10;2017;8.19;178;9;0;170;6;0;0;0;0
EMPRESAD;1,31704E+15;photo;6;10;2017;6;218;4;0;212;5;1;0;0;0
EMPRESAD;1,31685E+15;photo;6;10;2017;1.08;270;3;0;256;10;3;0;0;0
EMPRESAD;1,31533E+15;photo;6;8;2017;9.26;351;4;1;344;6;0;0;0;0
EMPRESAD;1,31516E+15;photo;6;8;2017;5.29;232;0;2;224;8;0;0;0;0
EMPRESAD;1,31515E+15;photo;6;8;2017;5.22;252;3;0;244;4;4;0;0;0
EMPRESAD;1,31509E+15;photo;6;8;2017;3.27;122;0;0;114;8;0;0;0;0
EMPRESAD;1,3143E+15;photo;6;7;2017;7.28;209;4;0;199;9;1;0;0;0
EMPRESAD;1,31413E+15;photo;6;7;2017;2.36;305;5;1;295;10;0;0;0;0
EMPRESAD;1,31224E+15;photo;6;5;2017;6.43;71;10;2;70;1;0;0;0;0
EMPRESAD;1,30638E+15;photo;5;30;2017;1.21;290;12;0;275;13;1;1;0;0
EMPRESAD;1,29817E+15;photo;5;21;2017;23.05;67;6;3;66;0;1;0;0;0
EMPRESAD;1,29732E+15;photo;5;21;2017;5.53;783;11;0;752;30;1;0;0;0
EMPRESAD;1,28965E+15;photo;5;14;2017;3.14;77;2;0;76;1;0;0;0;0
EMPRESAD;1,28875E+15;video;5;13;2017;3.21;22;0;0;22;0;0;0;0;0
EMPRESAD;1,28787E+15;photo;5;12;2017;4.17;103;0;0;100;2;1;0;0;0
EMPRESAD;1,28695E+15;video;5;11;2017;3.55;32;0;2;32;0;0;0;0;0
EMPRESAD;1,2868E+15;photo;5;10;2017;22.46;239;5;2;229;8;0;0;2;0
EMPRESAD;1,28593E+15;photo;5;10;2017;2.48;111;6;0;110;1;0;0;0;0
EMPRESAD;1,28377E+15;video;5;8;2017;9.57;51;0;1;51;0;0;0;0;0
EMPRESAD;1,30337E+15;video;5;8;2017;9.42;34;4;0;34;0;0;0;0;0
EMPRESAD;1,28045E+15;link;5;5;2017;23.27;15;0;0;15;0;0;0;0;0
EMPRESAD;1,27951E+15;video;5;5;2017;5.12;75;0;5;75;0;0;0;0;0
EMPRESAD;1,27845E+15;photo;5;4;2017;8.07;177;2;0;173;2;2;0;0;0
EMPRESAD;1,27806E+15;photo;5;4;2017;0.29;520;8;0;505;13;2;0;0;0
EMPRESAD;1,27609E+15;photo;5;2;2017;10.11;134;2;0;132;2;0;0;0;0
EMPRESAD;1,27601E+15;photo;5;2;2017;8.50;228;1;1;220;7;1;0;0;0
EMPRESAD;1,27449E+15;video;5;1;2017;0.35;498;254;17;408;77;5;6;1;1
EMPRESAD;1,27225E+15;photo;4;29;2017;0.40;166;5;2;159;7;0;0;0;0
EMPRESAD;1,27022E+15;video;4;27;2017;3.14;272;265;20;228;44;0;0;0;0
EMPRESAD;1,27019E+15;photo;4;27;2017;2.23;127;7;1;125;2;0;0;0;0
EMPRESAD;1,26948E+15;photo;4;26;2017;8.35;30;0;0;29;0;1;0;0;0
EMPRESAD;1,26909E+15;link;4;26;2017;0.11;33;1;1;33;0;0;0;0;0
EMPRESAD;1,26508E+15;photo;4;22;2017;1.20;252;5;0;239;9;4;0;0;0
EMPRESAD;1,26441E+15;photo;4;21;2017;9.05;287;0;0;286;0;1;0;0;0
EMPRESAD;1,26326E+15;photo;4;20;2017;7.34;264;8;3;257;5;2;0;0;0
